c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25
-0.493,0.013,0.011,-0.155,-0.255,0.227,-0.246,-0.374,-0.035,-0.246,0.64,0.034,0.449,0.038,0.176,0.52,0.362,0.364,-0.159,0.253,0.621,0.217,-0.388,0.298,0.078
-0.472,0.026,-0.002,-0.136,-0.25,0.218,-0.261,-0.365,-0.012,-0.244,0.624,0.055,0.465,0.034,0.186,0.527,0.386,0.358,-0.161,0.268,0.643,0.201,-0.383,0.313,0.076
-0.446,0.038,-0.013,-0.118,-0.247,0.212,-0.27,-0.357,0.014,-0.24,0.606,0.081,0.482,0.029,0.193,0.525,0.409,0.353,-0.163,0.277,0.659,0.194,-0.375,0.329,0.073
-0.421,0.052,-0.026,-0.1,-0.246,0.203,-0.279,-0.345,0.039,-0.241,0.588,0.105,0.494,0.026,0.206,0.529,0.427,0.347,-0.163,0.289,0.675,0.187,-0.364,0.341,0.069
-0.391,0.065,-0.04,-0.082,-0.242,0.193,-0.286,-0.334,0.064,-0.244,0.575,0.126,0.504,0.026,0.212,0.535,0.445,0.34,-0.163,0.299,0.689,0.178,-0.357,0.357,0.069
-0.369,0.078,-0.052,-0.059,-0.231,0.185,-0.288,-0.322,0.089,-0.243,0.553,0.152,0.513,0.028,0.225,0.531,0.466,0.333,-0.16,0.307,0.699,0.168,-0.348,0.368,0.067
-0.342,0.091,-0.07,-0.042,-0.228,0.174,-0.292,-0.313,0.111,-0.24,0.53,0.178,0.526,0.025,0.232,0.527,0.489,0.321,-0.157,0.313,0.703,0.157,-0.338,0.38,0.06
-0.31,0.105,-0.082,-0.028,-0.219,0.16,-0.296,-0.304,0.133,-0.237,0.511,0.202,0.534,0.019,0.234,0.524,0.504,0.309,-0.155,0.317,0.708,0.146,-0.319,0.385,0.06
-0.285,0.117,-0.096,-0.011,-0.21,0.148,-0.3,-0.293,0.155,-0.235,0.483,0.224,0.542,0.019,0.24,0.519,0.523,0.297,-0.152,0.324,0.715,0.134,-0.304,0.389,0.057
-0.252,0.13,-0.105,0.012,-0.202,0.14,-0.306,-0.278,0.175,-0.231,0.452,0.241,0.543,0.009,0.251,0.515,0.542,0.29,-0.15,0.33,0.715,0.119,-0.285,0.398,0.053
-0.22,0.14,-0.12,0.029,-0.19,0.128,-0.306,-0.264,0.196,-0.226,0.425,0.261,0.543,0.007,0.259,0.51,0.557,0.277,-0.148,0.333,0.711,0.104,-0.267,0.403,0.052
-0.192,0.149,-0.131,0.046,-0.18,0.118,-0.307,-0.245,0.216,-0.222,0.4,0.277,0.545,0.006,0.261,0.507,0.569,0.262,-0.144,0.337,0.708,0.093,-0.249,0.406,0.055
-0.163,0.158,-0.143,0.064,-0.164,0.11,-0.306,-0.229,0.236,-0.214,0.37,0.293,0.546,0.001,0.263,0.494,0.581,0.249,-0.136,0.343,0.701,0.075,-0.232,0.407,0.057
-0.135,0.167,-0.153,0.082,-0.152,0.098,-0.308,-0.216,0.256,-0.206,0.336,0.314,0.547,-0.004,0.267,0.48,0.591,0.239,-0.137,0.34,0.697,0.061,-0.212,0.411,0.054
-0.104,0.176,-0.165,0.095,-0.139,0.086,-0.305,-0.198,0.277,-0.195,0.31,0.332,0.544,-0.011,0.268,0.469,0.599,0.219,-0.133,0.337,0.692,0.048,-0.193,0.411,0.051
